1021000306,0,,0,,6,714,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,1280000,,,,0,38,,0.3,1
1021000309,0,,0,,6,622,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,0,,,,0,26,,0.4,1
1021000310,0,,1,,0,999,Central,kampala,urban,0,,2,0,,0,0,,0,0,,0,1300000,,,,0,34,,,1
1021000312,1,,1,,0,999,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,3060000,,,,0,33,,,1
1021000313,1,,0,,5,941,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,500000,,,,0,32,,,1
1021000401,1,,3,,1,932,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,0,,,,0,27,,,1
1021000402,1,,2,,1,543,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,0,,,,1,39,,,1
1021000405,1,,0,,3,621,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,96000,,,,1,26,,0.25,1
1021000406,1,,1,,1,832,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,240000,,,,1,44,,1.6,1
1021000408,0,,5,,1,621,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,0,,,,0,50,,1,1
1021000409,1,,1,,1,832,Central,kampala,urban,0,,12,0,,0,0,,0,0,,0,1800000,,,,0,55,,0,1
1021000410,1,,2,,2,621,Central,kampala,urban,8.5,12.96,6,906000,3452500,4358500,702.4931,176.2696,433.9717,415.5,2295.5,2711,4439500,45,24.36,69.36,1,36,89.6,1.6,1
1021000411,1,,1,,1,621,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,0,,,,1,37,,,1
1021000412,0,,0,,5,248,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,0,,,,0,26,,,1
1021000413,1,,1,,3,751,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,360000,,,,0,26,,,1
1021000501,1,,1,,3,249,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,0,,,,0,34,,,1
1021000503,0,,3,,0,621,Central,kampala,urban,0,,2,0,,0,0,,0,0,,0,0,,,,0,70,,,1
1021000504,0,,2,,2,621,Central,kampala,urban,0,,7,0,,0,0,,0,0,,0,0,,,,1,33,,,1
1021000505,1,,3,,1,535,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,300000,,,,0,22,,,1
1021000506,1,,1,,0,621,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,0,,,,0,39,,1,1
1021000507,0,,5,,1,621,Central,kampala,urban,0,,17,0,,0,0,,0,0,,0,779100,,,,0,59,,0.5,1
